ID,Case ID,Case Name,Group ID,Group Name,Item Name,Item Type,Created by User Name,Created by User ID,Created Time,Last Edited by User Name,Last Edited by User ID,Last Edited Time,isDeleted,Source ID,Source Name,Source Type,Target ID,Target Name,Target Type
4134,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:28:14,,,11/15/2016-20:28:14,False,3997,Orin,person,4119,whitney,person
4133,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:28:14,,,11/15/2016-20:28:14,False,3997,Orin,person,4119,whitney,person
4132,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:28:14,,,11/15/2016-20:28:14,False,3997,Orin,person,4119,whitney,person
4131,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:28:14,,,11/15/2016-20:28:14,False,3997,Orin,person,4119,whitney,person
4130,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:28:14,,,11/15/2016-20:28:14,False,3997,Orin,person,4119,whitney,person
4129,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:28:14,,,11/15/2016-20:28:14,False,3997,Orin,person,4119,whitney,person
4128,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:28:14,,,11/15/2016-20:28:14,False,3997,Orin,person,4119,whitney,person
4127,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:28:14,,,11/15/2016-20:28:14,False,3997,Orin,person,4119,whitney,person
4126,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:26:09,,,11/15/2016-20:26:09,False,3852,Dante,person,4126,vanesa,person
4125,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:26:09,,,11/15/2016-20:26:09,False,3852,Dante,person,4126,vanesa,person
4124,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:26:09,,,11/15/2016-20:26:09,False,3852,Dante,person,4126,vanesa,person
4123,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:26:09,,,11/15/2016-20:26:09,False,3852,Dante,person,4126,vanesa,person
4122,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:26:09,,,11/15/2016-20:26:09,False,3852,Dante,person,4126,vanesa,person
4121,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:26:09,,,11/15/2016-20:26:09,False,3852,Dante,person,4126,vanesa,person
4120,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:26:09,,,11/15/2016-20:26:09,False,3852,Dante,person,4126,vanesa,person
4119,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:26:09,,,11/15/2016-20:26:09,False,3852,Dante,person,4126,vanesa,person
4118,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:26:09,,,11/15/2016-20:26:09,False,3852,Dante,person,4126,vanesa,person
4117,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:26:09,,,11/15/2016-20:26:09,False,3852,Dante,person,4126,vanesa,person
4116,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:26:09,,,11/15/2016-20:26:09,False,3852,Dante,person,4126,vanesa,person
4115,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:26:09,,,11/15/2016-20:26:09,False,3852,Dante,person,4126,vanesa,person
4114,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:24:15,,,11/15/2016-20:24:15,False,4093,Isabel.,person,4216,Luke,person
4113,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:24:15,,,11/15/2016-20:24:15,False,4093,Isabel.,person,4216,Luke,person
4112,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:24:15,,,11/15/2016-20:24:15,False,4093,Isabel.,person,4216,Luke,person
4111,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:24:15,,,11/15/2016-20:24:15,False,4093,Isabel.,person,4216,Luke,person
4110,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:24:15,,,11/15/2016-20:24:15,False,4093,Isabel.,person,4216,Luke,person
4109,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:24:15,,,11/15/2016-20:24:15,False,4093,Isabel.,person,4216,Luke,person
4108,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:24:15,,,11/15/2016-20:24:15,False,4093,Isabel.,person,4216,Luke,person
4107,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:24:15,,,11/15/2016-20:24:15,False,4093,Isabel.,person,4216,Luke,person
4106,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:24:15,,,11/15/2016-20:24:15,False,4093,Isabel.,person,4216,Luke,person
4105,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:24:15,,,11/15/2016-20:24:15,False,4093,Isabel.,person,4216,Luke,person
4104,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:24:15,,,11/15/2016-20:24:15,False,4093,Isabel.,person,4216,Luke,person
4103,4,Laptop Theft,158,Group 12,involve,relationship,bxb5268,197,11/15/2016-20:24:15,,,11/15/2016-20:24:15,False,4093,Isabel.,person,4216,Luke,person
4102,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/15/2016-19:01:43,lgs5102,183,11/15/2016-19:01:43,False,4280,works out,event,4261,White Building,location
4101,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/15/2016-19:01:43,lgs5102,183,11/15/2016-19:01:43,False,4280,works out,event,4260,Vanesa,person
4100,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/15/2016-18:59:50,lgs5102,183,11/15/2016-18:59:50,False,4279,work out,event,4261,White Building,location
4099,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/15/2016-18:59:50,lgs5102,183,11/15/2016-18:59:50,False,4279,work out,event,4043,Riley,person
4098,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/15/2016-18:56:39,lgs5102,183,11/15/2016-18:56:39,False,4278,presentation,event,4257,Pattee Library,location
4097,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/15/2016-18:56:39,lgs5102,183,11/15/2016-18:56:39,False,4278,presentation,event,4277,Quentin,person
4096,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/15/2016-18:54:26,lgs5102,183,11/15/2016-18:54:26,False,4275,assistantship,event,4257,Pattee Library,location
4095,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/15/2016-18:54:26,lgs5102,183,11/15/2016-18:54:26,False,4275,assistantship,event,4276,Nicolas,person
4094,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/15/2016-18:53:47,lgs5102,183,11/15/2016-18:53:47,False,4275,assistantship,event,4257,Pattee Library,location
4093,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/15/2016-18:51:04,lgs5102,183,11/15/2016-18:51:04,False,4274,practice,event,4261,White Building,location
4092,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/15/2016-18:51:04,lgs5102,183,11/15/2016-18:51:04,False,4274,practice,event,4256,Frank,person
4091,4,Laptop Theft,158,Group 12,involve,relationship,oto5029,186,11/15/2016-18:44:44,oto5029,186,11/15/2016-18:44:44,False,4272,Media & Democracy,event,4273,kern 203,location
4090,4,Laptop Theft,158,Group 12,involve,relationship,oto5029,186,11/15/2016-18:44:44,oto5029,186,11/15/2016-18:44:44,False,4272,Media & Democracy,event,3857,Ursela,person
4089,4,Laptop Theft,158,Group 12,involve,relationship,oto5029,186,11/15/2016-18:43:48,oto5029,186,11/15/2016-18:43:48,False,4232,Practicum,event,4270,Sean,person
4088,4,Laptop Theft,158,Group 12,involve,relationship,oto5029,186,11/15/2016-18:40:27,oto5029,186,11/15/2016-18:40:27,False,4268,Nature Disasters,event,4269,Wartik,location
4087,4,Laptop Theft,158,Group 12,involve,relationship,oto5029,186,11/15/2016-18:40:27,oto5029,186,11/15/2016-18:40:27,False,4268,Nature Disasters,event,3846,percy,person
4086,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/15/2016-18:28:37,lgs5102,183,11/15/2016-18:28:37,False,4152,Work,event,4267,Zahra,person
4085,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-22:35:44,zvh5096,188,11/14/2016-22:35:44,False,4266,lunch,event,4265,Subway,location
4084,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-22:35:44,zvh5096,188,11/14/2016-22:35:44,False,4266,lunch,event,4043,Riley,person
4083,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-22:21:02,zvh5096,188,11/14/2016-22:21:02,False,4264,Spanish,event,4263,Rackley,location
4082,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-22:21:02,zvh5096,188,11/14/2016-22:21:02,False,4264,Spanish,event,4014,Jordan,person
4081,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-22:09:44,zvh5096,188,11/14/2016-22:09:44,False,4262,Ballet,event,4261,White Building,location
4080,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-22:09:44,zvh5096,188,11/14/2016-22:09:44,False,4262,Ballet,event,4261,White Building,location
4079,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-22:09:44,zvh5096,188,11/14/2016-22:09:44,False,4262,Ballet,event,4172,Whitney,person
4078,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-22:09:44,zvh5096,188,11/14/2016-22:09:44,False,4262,Ballet,event,4260,Vanesa,person
4077,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-21:59:57,zvh5096,188,11/14/2016-21:59:57,False,4259,job,event,4257,Pattee Library,location
4076,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-21:59:57,zvh5096,188,11/14/2016-21:59:57,False,4259,job,event,4255,Mikayla,person
4074,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/14/2016-14:20:20,lgs5102,183,11/14/2016-14:20:20,False,4229,work,event,4207,Garner,location
4073,4,Laptop Theft,171,Team 7,involve,relationship,lgs5102,183,11/14/2016-14:19:30,lgs5102,183,11/14/2016-14:19:30,False,4229,work,event,4207,Garner,location
4072,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-14:17:14,zvh5096,188,11/14/2016-14:17:14,False,4254,Chemical Principle,event,4239,Willard,location
4071,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-14:17:14,zvh5096,188,11/14/2016-14:17:14,False,4254,Chemical Principle,event,4195,Xavier,person
4070,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-14:16:43,zvh5096,188,11/14/2016-14:16:43,False,4252,Practicum: Statistical Consulting,event,4238,Thomas,location
4069,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-14:16:43,zvh5096,188,11/14/2016-14:16:43,False,4252,Practicum: Statistical Consulting,event,4240,Sean,person
4068,4,Laptop Theft,171,Team 7,involve,relationship,mxt5265,198,11/14/2016-14:15:26,mxt5265,198,11/14/2016-14:15:26,False,4250,Yadir's internship,event,4251,Washington DC,location
4067,4,Laptop Theft,171,Team 7,involve,relationship,mxt5265,198,11/14/2016-14:15:26,mxt5265,198,11/14/2016-14:15:26,False,4250,Yadir's internship,event,4084,Yadir,person
4066,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-14:14:53,zvh5096,188,11/14/2016-14:14:53,False,4249,Dynamics,event,4221,Henderson,location
4065,4,Laptop Theft,171,Team 7,involve,relationship,zvh5096,188,11/14/2016-14:14:53,zvh5096,188,11/14/2016-14:14:53,False,4249,Dynamics,event,4111,Dante,person
4064,4,Laptop Theft,158,Group 12,involve,relationship,oto5029,186,11/14/2016-14:11:15,oto5029,186,11/14/2016-14:11:15,False,4245,Circuits & Devices,event,4246,EE Dantet,location
4063,4,Laptop Theft,158,Group 12,involve,relationship,oto5029,186,11/14/2016-14:11:15,oto5029,186,11/14/2016-14:11:15,False,4245,Circuits & Devices,event,4070,Mikayla,person
